id,text,piclist,userGender,userFollowCount,userFansCount,userWeiboCount,userLocation,userDescription,category
98a8deab7f69217558c6d39d7569de1f,中央巡视组/纪检监察组驻进十堰市组长施建明：手机号：1352066654313601244044副组长曾志勇：手机号：1399260262815801360139副组长白海军：手机号：13911389312主任张雁冰：手机号：13520554628举报贪官的时候到了，有冤的伸冤，无冤的转发为别人做点好事。2沿河东路,b76f9ae026813de11a71ab6ee97d1948.png,男,4899.0,6842.0,1192.0,湖北 十堰,以健康为中心，糊涂一点，潇洒一点，忘记名利，忘记年龄，忘记怨恨，有个伴，有个窝，有点钱，有好友。,政治
b828f2306ff0a4572594d141b1f180a9,听屋头的人说，自贡商业银行要倒闭了，排队取钱的人排起龙浪长2自贡·豪斯登堡,c05c3d7dc90ea9522f343aacfdf01e8b.jpg,女,257.0,34.0,26.0,其他,阳光，善良正直，安静，淑女。永远不带给任何人负面情绪，我是正能量。,财经商业
ff4fda12a9ab29d00808f04e91ac7409,#西安新闻##魅力大西安#【央视《中国新闻》关注西安多措并举“招贤纳士”吸引中外客商投资】今年以来，西安市抓住一带一路建设的重要机遇，推出多项措施打造优质营商环境，吸引中外客商前来投资。今年四月，陕西自贸区正式挂牌，吸引大批中外企业聚集西安，自贸区运营半年新增企业4895家。注册资本1376.6亿元。西安电视台...,0a671ff09e9884a45a443b0a3895061e.jpg,男,408.0,10981.0,1276.0,陕西, 本地资讯博主（西安）,政治
40920b0a703c1d4dc10189551f159fd0,女子拒绝强奸，男子霸王硬上弓致生殖器折断，女子被判刑3年！！！还有没有法律，这男的死有余辜吧！！！,8f185307f4460d6adce83d2d2195a73e.jpg,男,682.0,923.0,2689.0,福建 厦门,自爱，爱人，人爱！爱一切众生！！,社会生活
1bba2f2251169f77711c323183190c5d,京城四少：内地有不少喜欢和女明星传绯闻的富二代，其中几个年轻帅气的被戏称为“京城四少”，即京城四少汪小菲、汪雨、王烁、王珂。汪小菲，“俏江南”集团老板张兰的独子，生活奢侈，喜爱名车。和章子怡传过绯闻，张雨绮曾经是其公开女友，目前已同台湾女星大S...,,男,349.0,1051.0,599.0,陕西 西安,心之所向 身之所往 锲而不舍 成之必然,文体娱乐
680d89a506afbc9df33e0a055250cd87,草原奖补补贴标准:1—6岁每人每年3000元，7—16岁每人每年5000元，17—20岁每人每年7000元，21—56岁每人每年21000元，57岁以上每人每年5000元，农牧民们应该查询自己的合法补贴。这是农牧民的草原奖补补贴，不是禁牧费，可是政府给农牧民少给一半不说还是“禁牧费”的名义下发来的,,女,374.0,220.0,4971.0,内蒙古 锡林郭勒盟,每天快乐　,社会生活
3d5f136e09f69af229204459f7af3cb7,回复了【严重贫血怎么办】考虑缺铁性贫血。如果没有胃肠道疾病，请问有无痔疮？有无月经过多？有无饮食限制？比如只素食？O,,女,357.0,4809.0,6622.0,湖北武汉,武汉协和医院血液科正教授，主任医师，医学博士，留美博士后。每周二下午专家门诊，可拨打12580或者通过协和医院官网预约专家号。,医药健康
2d94a7409d31c6047d896ab7fa5ab1a4,		这才是男人的美//@憨哥雨哥:荷尔蒙爆表！//@加拿大-江浙沪同乡会:加拿大舞团上演堪称史上最man的舞蹈，简直帅到爆炸！！！		,,,,,,,,文体娱乐
22498f6606b17dab939cbd1a79442618,寻人启事13940292999。有线索酬金10万！帮忙扩散，今天上午一个三岁多小女孩在长治锦绣花园小区附近被人拐走了，小女孩能说出她爸爸的手机号码从监控上看是被一个四十多岁男人抱走了现大人都急疯了有知情者请告之万分感谢看到信息的兄弟姐妹留意一下联系人宁继春13940292999！,,男,384.0,39.0,584.0,山西 忻州,LuooPo先森 http://weidian.com/s/316320768?wfr=c 资然美、嘉玲官方代理！爱美的你，一定不能错过！,社会生活
d410905f5fa639be3f2cf2f36e5f30a6,美国反战交响乐团来京，在国家大剧院演出。令人难以想象的是：几十年后的众“豺狼”的后代们组成“原联合国军后代反战交响乐团”用五种乐器、五种模进变奏将该片插曲《一条大河》推向高潮。制片人黄炳锋的微博视频,,男,145.0,29.0,4.0,北京,制片人、编剧、导演,文体娱乐
41e33ea12f2889093464c7af3c7ee634,		【只因说没床位了雅安女医生遭四人追打】网传雅安人民医院医生曹芹给一名病人会诊时，遭到病人及家属4人殴打，原因是她说病床不足。其同事称，“从急诊科打到了咨询台”…@平安雅安通报，犯罪嫌疑人李某荣已被羁押，另2名犯罪嫌疑人的抓捕工作正抓紧进行...		,,男,4018.0,15600000.0,80347.0,北京朝阳区,《法制晚报》官方微博,医药健康
48b4db1fd3ee85546d234e6a6c064bf4,		#中超#【肖智成中超脱衣罚下第三人！一人曾致降级悲剧】昨天晚上的中超联赛第11轮比赛，广州富力在主场被河南建业战平，富力前锋肖智在比赛中利用头球首开纪录。进球后的肖智异常兴奋脱衣庆祝，直接导致两黄变一红被罚下场……详情请戳&gt;&gt;		,a77643dbe2c50359c907c8507f7d2a56.jpg	1eb15942c668088cc13c37bb1040f126.jpg,男,929.0,1010000.0,44393.0,上海,PP体育官方微博,文体娱乐
c4dd9a6da520da02883aaf0648389574,		#直通象山#S19甬台温复线宁波方向12k货车抛锚，已经通知施救车辆前往，请过路驾驶员谨慎驾驶，注意避让！——六大队		,d08ef8280c585170de792c4fe446d69c.jpg,男,611.0,380000.0,37437.0,浙江宁波,浙江省公安厅高速公路交警总队宁波支队,社会生活
8cd089dadc091c906a9980c4ed82930a,韩红正式皈依佛门跪地痛哭行礼，乐坛又一天籁之音将隐退!-北京时间韩红正式皈依佛门跪地痛哭行礼，乐坛又一天籁之音将隐退!-北京时间,,男,753.0,1852.0,46536.0,山西 临汾,本店专营筛网护栏网矿用及工业用网,文体娱乐
7fabedf7cae27df2d581cbbc24fe67af,		《楚雄盗梦空间老板涉猥亵强奸30名少女举报者被学校劝退》云南楚雄“盗梦空间”密室逃脱游戏店老板，在其店内猥亵女生；		,9d1e0ec40d33d0e205779428c4014673.jpg,女,175.0,35.0,14.0,云南昆明,,社会生活
750acc94a55e0a947b490e123c8abce8,昨天晚上胃疼，医院急诊，验血检查没什么事，吃点药。今天早上体检，还是结节，淋巴肿大多休息。今天下午给老爹买火车票，晚上姐姐说爹要学用智能手机。,,男,119.0,102.0,1053.0,上海浦东新区,大手牵小手，幸福向前走,医药健康
c53ee42d3f9b723d5d7823a2663844d9,		#重庆话话重庆#别看热闹看门道！《#人民的名义#》里这点他们做的都不好！吧！(分享自@蜻蜓FM)#龙门阵#最近，身边好多朋友都在推荐一部电视剧《人民的名义》。看下来确实觉得过瘾。这部有最高检「撑腰」的电视剧，尺度大，剧情紧凑，演员演技也是精准到位。可以说是满			...		,,男,112.0,2277.0,766.0,安徽亳州,蜻蜓FM《重庆话话重庆》官方微博，域名，主机，建站，400电话。,文体娱乐
